//X,Y,Z,M3C2 distance,R,G,B,Nx,Ny,Nz
47473.063,35890.137,2053.672,-0.167,84,68,59,0.046542,-0.063860,0.996873
47467.801,35893.863,2053.564,-0.226,73,58,47,-0.102179,-0.029665,0.994324
47475.223,35888.848,2053.837,-0.246,79,62,49,0.108021,-0.016367,0.994014
47471.531,35892.660,2053.495,-0.139,77,59,46,-0.120473,-0.039407,0.991934
47475.027,35889.410,2053.871,-0.247,84,66,52,-0.020780,0.106085,0.994140
47468.813,35894.090,2053.674,-0.254,75,61,52,-0.084365,-0.011747,0.996366
47465.645,35896.676,2053.398,-0.237,98,78,59,-0.181318,-0.068445,0.981040
47469.523,35893.148,2053.633,-0.193,86,68,52,0.030940,-0.062946,0.997537
47475.359,35889.770,2053.805,-0.247,77,59,45,-0.024484,0.067064,0.997448
47465.836,35897.090,2053.462,-0.237,102,82,59,-0.083109,-0.024825,0.996231
47476.227,35890.305,2053.779,-0.275,76,58,46,0.034650,-0.040950,0.998560
47472.250,35892.344,2053.643,-0.129,82,62,49,-0.029368,0.009114,0.999527
47468.598,35896.109,2053.588,-0.253,77,58,47,-0.084567,0.077801,0.993376
47468.473,35897.727,2053.508,-0.244,88,71,56,-0.007089,-0.029369,0.999544
47479.160,35888.914,2053.133,-0.365,91,75,65,0.143008,-0.276660,0.950267
47462.406,35902.828,2053.825,-0.169,86,66,50,-0.046912,0.075277,0.996059
47480.289,35890.207,2053.478,-0.377,81,66,50,0.003920,-0.435148,0.900351
47470.105,35897.730,2053.553,-0.255,88,71,57,-0.065585,0.076701,0.994895
47477.629,35892.586,2053.818,-0.296,77,58,48,-0.035582,0.007116,0.999341
47473.145,35895.727,2053.730,-0.255,75,59,47,-0.042184,-0.011318,0.999046
47470.145,35899.984,2053.818,-0.247,91,72,60,0.001216,-0.283219,0.959055
47470.535,35901.102,2054.004,-0.244,100,79,64,0.025016,-0.094625,0.995199
47471.105,35899.668,2053.700,-0.243,84,65,51,0.055648,-0.243614,0.968274
47483.555,35890.402,2053.437,-0.399,96,81,75,0.026511,-0.316874,0.948097
47481.934,35891.965,2053.841,-0.388,75,56,44,0.019029,-0.135438,0.990603
47461.918,35908.461,2053.793,-0.243,108,90,81,-0.078280,-0.091894,0.992687
47458.504,35910.500,2053.428,-0.327,120,116,115,-0.187332,-0.124469,0.974379
47484.914,35890.598,2053.559,-0.335,96,81,77,-0.039899,-0.226093,0.973288
47457.852,35912.043,2053.568,-0.361,114,97,87,-0.190792,-0.196055,0.961853
47464.914,35907.652,2053.997,-0.145,94,78,64,-0.102383,0.005389,0.994730
47460.328,35910.176,2053.836,-0.294,103,87,76,-0.250836,-0.120869,0.960454
47460.520,35911.230,2054.001,-0.291,133,125,116,-0.303431,-0.055053,0.951262
47484.148,35892.891,2053.926,-0.340,81,63,51,-0.018589,-0.108252,0.993950
47461.238,35911.285,2054.215,-0.276,114,100,91,-0.191939,-0.031794,0.980892
47461.969,35910.238,2054.115,-0.262,78,63,55,-0.106456,-0.204145,0.973135
47473.602,35902.367,2054.062,-0.228,104,88,72,-0.022526,-0.080450,0.996504
47488.410,35890.684,2053.981,-0.254,83,79,86,-0.144796,0.052127,0.988087
47487.602,35890.910,2053.779,-0.271,83,72,74,-0.193037,-0.056352,0.979572
47474.070,35901.137,2053.966,-0.241,93,75,62,-0.052019,-0.085223,0.995003
47465.809,35907.039,2054.067,-0.144,107,87,72,-0.062942,-0.033071,0.997469
47455.191,35916.121,2053.614,-0.411,104,88,77,-0.160377,-0.033460,0.986489
47464.582,35909.418,2053.981,-0.150,207,203,207,-0.068156,-0.123604,0.989988
47479.293,35898.063,2054.028,-0.260,99,78,63,-0.015587,-0.050916,0.998581
47491.656,35889.453,2053.793,-0.315,48,39,43,0.055448,-0.109765,0.992410
47491.031,35889.633,2053.889,-0.320,43,33,38,0.081131,-0.063349,0.994688
47485.656,35892.797,2053.989,-0.281,84,65,50,-0.033071,-0.062942,0.997469
47465.734,35910.125,2054.185,-0.134,99,82,75,-0.084704,-0.114873,0.989762
47454.840,35917.152,2053.683,-0.387,99,82,70,-0.048924,-0.194504,0.979681
47494.500,35887.801,2053.296,-0.403,63,52,55,-0.077768,-0.269002,0.959995
47492.090,35889.199,2053.786,-0.331,51,43,45,0.008159,-0.208646,0.977957
47467.082,35909.227,2054.249,-0.137,85,72,63,-0.043925,-0.056781,0.997420
47459.594,35915.195,2054.200,-0.323,104,92,83,-0.102179,-0.029665,0.994324
47519.395,35870.375,2054.048,0.100,79,61,54,0.009114,-0.029368,0.999527
47454.043,35918.805,2053.824,-0.387,99,83,69,-0.152219,-0.092290,0.984028
47495.473,35887.719,2053.608,-0.404,41,32,36,-0.218969,-0.249266,0.943355
47492.395,35889.734,2053.936,-0.317,50,38,41,-0.066307,-0.186867,0.980145
47464.621,35911.160,2054.344,-0.152,91,79,71,0.007602,-0.111859,0.993695
47520.047,35869.203,2053.930,0.135,78,58,57,-0.016307,-0.101105,0.994742
47455.059,35918.262,2053.960,-0.374,94,75,61,0.056765,-0.142491,0.988167
47529.449,35862.473,2053.820,0.292,77,60,60,0.012630,-0.177962,0.983956
47493.027,35889.297,2053.774,-0.356,53,41,43,0.011257,-0.321456,0.946858
47464.598,35912.289,2054.461,-0.158,75,62,57,0.003177,-0.083659,0.996489
47530.336,35862.324,2053.681,0.292,79,65,65,-0.030458,-0.419787,0.907111
47512.719,35875.793,2053.933,0.035,67,49,45,-0.062493,-0.110216,0.991941
47496.504,35887.297,2053.471,-0.413,53,43,48,0.043999,-0.287877,0.956656
47495.309,35889.086,2053.760,-0.386,41,33,35,-0.112875,-0.214335,0.970216
47515.641,35873.668,2053.949,0.058,60,47,46,-0.077019,-0.070321,0.994547
47513.965,35875.055,2053.923,0.042,79,59,50,-0.105931,-0.041257,0.993517
47488.898,35893.504,2054.002,-0.218,62,46,45,-0.102777,-0.062118,0.992763
47530.648,35862.168,2053.680,0.292,82,72,70,-0.318688,-0.143615,0.936916
47481.035,35899.531,2054.102,-0.256,103,87,77,-0.011317,-0.044238,0.998957
47479.359,35901.172,2054.114,-0.241,102,85,71,-0.021999,-0.053426,0.998329
47453.172,35921.066,2054.148,-0.376,113,92,86,-0.042379,-0.072805,0.996445
47510.840,35877.422,2054.148,0.001,64,49,47,-0.011009,0.013011,0.999855
47455.313,35917.801,2053.834,-0.382,93,75,63,-0.059734,-0.102562,0.992931
47498.223,35887.586,2053.552,-0.374,83,56,46,-0.010851,-0.259223,0.965756
47493.824,35891.313,2054.244,-0.307,42,33,36,-0.109519,-0.055324,0.992444
47532.535,35863.055,2054.061,0.260,78,63,60,-0.046577,-0.013456,0.998824
47475.156,35905.914,2054.314,-0.154,102,81,65,-0.007089,-0.029369,0.999544
47496.469,35890.598,2054.128,-0.366,50,41,45,0.057878,-0.168910,0.983931
47522.398,35872.234,2054.178,0.119,84,63,57,-0.024435,-0.064807,0.997599
47507.793,35882.727,2054.205,-0.039,69,54,50,-0.039478,-0.056550,0.997619
47460.773,35917.570,2054.370,-0.281,124,111,109,-0.116732,-0.027793,0.992774
47500.766,35886.504,2053.820,-0.339,79,67,70,-0.138020,-0.001104,0.990429
47498.758,35888.645,2053.835,-0.350,94,76,73,-0.066533,-0.252322,0.965353
47540.570,35856.449,2053.419,0.300,82,66,62,0.033822,-0.017423,0.999276
47470.422,35910.527,2054.375,-0.134,106,93,80,-0.019785,-0.048941,0.998606
47541.539,35856.613,2053.365,0.274,79,65,62,0.068883,-0.055762,0.996065
47490.020,35896.410,2054.238,-0.188,81,61,47,-0.061658,0.011496,0.998031
47544.035,35854.918,2053.190,0.201,83,68,63,0.068459,-0.048899,0.996455
47542.438,35856.402,2053.251,0.260,81,68,66,-0.005420,-0.109478,0.993974
47530.047,35865.684,2054.038,0.268,85,69,66,0.072336,-0.113670,0.990882
47546.512,35854.164,2053.110,0.184,89,76,72,0.022176,-0.060193,0.997940
47513.840,35880.324,2054.238,0.043,81,64,59,-0.069593,-0.067384,0.995297
47502.426,35888.961,2054.225,-0.275,115,102,109,-0.054437,-0.144778,0.987966
47521.039,35876.684,2054.335,0.072,76,72,75,-0.040950,-0.034650,0.998560
47513.395,35879.945,2054.199,0.040,76,60,55,-0.030204,-0.038536,0.998801
47520.285,35874.727,2054.244,0.099,65,52,51,-0.021912,-0.049041,0.998556
47557.656,35847.141,2052.844,0.225,75,60,58,0.014460,-0.132368,0.991095
47547.223,35854.621,2053.136,0.184,84,70,65,-0.011954,-0.105413,0.994357
47491.184,35896.480,2054.301,-0.184,85,69,58,-0.038303,0.023810,0.998982
47484.676,35900.895,2054.192,-0.245,97,81,73,-0.011633,-0.072971,0.997266
47503.602,35887.730,2054.164,-0.184,116,109,116,-0.086654,-0.070899,0.993712
47501.695,35890.043,2054.465,-0.243,83,68,64,-0.029522,-0.201932,0.978955
47546.020,35857.125,2053.314,0.196,78,66,62,0.022882,-0.099154,0.994809
47560.344,35846.660,2052.634,0.108,75,60,58,0.126333,-0.025714,0.991655
47551.480,35851.168,2053.082,0.203,80,65,62,-0.005296,-0.081554,0.996655
47499.832,35892.363,2054.478,-0.240,76,57,51,-0.065585,-0.076701,0.994895
47501.277,35890.410,2054.497,-0.256,67,54,52,-0.096827,-0.078601,0.992193
47524.754,35875.453,2054.461,0.102,66,53,51,-0.032743,-0.051755,0.998123
47558.059,35846.754,2052.830,0.287,73,59,61,0.033943,-0.090878,0.995283
47558.066,35848.230,2053.026,0.225,82,67,61,0.074973,-0.040203,0.996375
47549.492,35854.762,2053.154,0.193,83,68,63,0.043873,-0.190908,0.980627
47507.480,35886.633,2054.345,-0.045,70,54,50,-0.060016,-0.062198,0.996258
47499.188,35893.219,2054.534,-0.220,84,68,61,-0.062708,-0.069309,0.995622
47550.043,35854.277,2053.040,0.199,89,70,76,-0.034511,-0.036603,0.998734
47547.359,35858.027,2053.384,0.194,76,67,67,-0.009572,-0.081897,0.996595
47501.793,35891.129,2054.577,-0.217,83,68,63,-0.049850,-0.037123,0.998067
47526.531,35873.586,2054.260,0.136,76,63,61,-0.059574,0.013587,0.998131
47529.250,35873.359,2054.458,0.139,77,63,58,-0.005255,-0.072516,0.997353
47547.277,35858.914,2053.463,0.194,77,67,66,0.014240,-0.112825,0.993513
47550.352,35856.430,2053.435,0.205,77,60,57,-0.024825,-0.083109,0.996231
47497.168,35898.152,2054.589,-0.218,84,68,68,-0.039716,-0.063331,0.997202
47549.063,35857.414,2053.436,0.194,71,57,55,-0.061824,-0.050978,0.996784
47535.797,35869.801,2054.343,0.220,63,51,51,-0.039882,-0.065751,0.997039
47561.059,35851.484,2052.842,0.158,77,62,62,0.095359,-0.088466,0.991504
47555.566,35854.660,2053.456,0.304,82,65,60,-0.031805,-0.097607,0.994717
47538.398,35868.195,2054.443,0.218,78,64,66,-0.063618,-0.083709,0.994457
47553.949,35857.078,2053.595,0.253,67,52,51,-0.057841,-0.062206,0.996386
47534.176,35872.059,2054.472,0.127,70,58,56,-0.016055,-0.082415,0.996469
47531.344,35874.336,2054.511,0.081,68,54,52,0.003202,-0.092844,0.995675
47516.703,35886.637,2054.711,-0.158,75,59,66,-0.032746,-0.049647,0.998230
47561.879,35850.055,2052.648,0.119,75,60,59,0.054993,-0.102131,0.993250
47536.035,35870.820,2054.444,0.184,74,60,56,-0.035708,-0.074662,0.996569
47565.754,35848.824,2052.934,0.134,62,50,51,-0.230513,-0.219601,0.947966
47564.945,35849.211,2052.803,0.109,66,54,54,-0.282092,-0.201494,0.937990
47539.004,35869.234,2054.599,0.159,88,76,83,-0.091454,-0.040769,0.994974
47536.977,35868.512,2054.340,0.219,79,64,59,-0.052391,-0.045976,0.997568
47548.516,35863.789,2054.066,0.122,82,70,67,-0.013507,-0.052990,0.998504
47548.328,35862.383,2053.972,0.125,87,72,68,-0.013831,-0.077665,0.996884
47561.215,35853.309,2053.058,0.206,71,54,53,0.075886,-0.174658,0.981700
47556.844,35856.188,2053.703,0.320,86,69,65,-0.050694,-0.111526,0.992468
47540.055,35868.641,2054.428,0.141,80,64,65,0.107596,-0.117055,0.987280
47552.598,35859.680,2053.641,0.194,74,62,60,-0.019746,-0.046766,0.998711
47565.434,35850.773,2053.091,0.135,63,51,51,-0.111763,-0.053059,0.992317
47561.848,35853.043,2052.977,0.206,71,53,51,-0.021429,-0.145493,0.989127
47539.527,35869.797,2054.629,0.112,80,64,64,-0.006992,-0.014983,0.999863
47532.891,35876.609,2054.762,-0.071,71,56,52,-0.028008,-0.036307,0.998948
47546.922,35865.832,2054.104,0.017,105,90,93,-0.005123,-0.044059,0.999016
47535.648,35872.691,2054.562,0.101,67,56,54,-0.026987,-0.080960,0.996352
47525.340,35881.297,2054.797,-0.332,72,55,51,-0.067762,-0.035494,0.997070
47552.969,35860.777,2053.717,0.159,81,68,66,-0.013939,-0.086853,0.996124
47541.359,35869.527,2054.430,0.058,77,62,61,0.134485,-0.073674,0.988173
47553.289,35861.848,2053.831,0.107,87,72,68,-0.032379,-0.117233,0.992576
47555.172,35859.594,2053.823,0.246,75,63,60,-0.089272,-0.073452,0.993295
47511.629,35893.609,2054.826,-0.331,100,81,83,0.030449,-0.045148,0.998516
47548.414,35866.082,2054.150,-0.066,83,68,68,-0.017914,-0.062171,0.997905
47542.711,35869.930,2054.365,-0.032,91,86,85,0.011340,-0.044329,0.998953
47542.129,35870.340,2054.416,-0.009,65,58,60,0.080899,-0.092294,0.992440
47553.609,35862.703,2053.957,0.107,89,75,72,-0.036641,-0.105481,0.993746
47512.953,35893.523,2054.766,-0.316,79,63,63,0.028348,-0.047247,0.998481
47565.578,35853.953,2053.267,0.230,75,64,60,-0.114733,-0.057935,0.991706
47536.043,35876.055,2054.831,-0.110,62,49,45,-0.021825,-0.044690,0.998762
47537.984,35874.582,2054.720,-0.092,61,48,48,-0.013723,-0.068614,0.997549
47543.621,35872.793,2054.659,-0.300,74,62,59,0.063390,-0.178210,0.981948
47563.797,35856.617,2053.627,0.286,72,58,56,0.073354,-0.227521,0.971006
47561.910,35857.395,2053.950,0.307,65,53,52,0.075587,-0.219326,0.972719
47542.824,35873.109,2054.760,-0.269,75,62,58,-0.023061,-0.108715,0.993805
47547.641,35869.961,2054.545,-0.377,72,58,57,-0.063092,-0.076374,0.995081
47541.609,35874.070,2054.807,-0.249,71,58,55,-0.039399,-0.054306,0.997747
47551.762,35868.129,2054.383,-0.392,76,65,65,0.018847,-0.123058,0.992221
